"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Apr 07 09:48:14 GMT 2025","Mon Apr 07 09:48:15 GMT 2025","1463","tests","test_collection","","","","test_get_collection_by_specified_size",""
"passed","Mon Apr 07 09:48:13 GMT 2025","Mon Apr 07 09:48:14 GMT 2025","590","tests","test_access_api","","","","test_invalid_key",""
"passed","Mon Apr 07 09:48:16 GMT 2025","Mon Apr 07 09:48:17 GMT 2025","1410","tests","test_collection","","","","test_get_collection_by_default_size",""
"passed","Mon Apr 07 09:48:15 GMT 2025","Mon Apr 07 09:48:16 GMT 2025","548","tests","test_collection","","","","test_search_by_first_maker",""
"failed","Mon Apr 07 09:48:18 GMT 2025","Mon Apr 07 09:48:18 GMT 2025","556","tests","test_collection_details","","","","test_get_object_by_invalid_number",""
"passed","Mon Apr 07 09:48:17 GMT 2025","Mon Apr 07 09:48:18 GMT 2025","484","tests","test_collection_details","","","","test_get_object_by_valid_number",""
